"","sex","race","age_int"
"121000624",1,1,46
"121002145",0,0,36
"121010609",0,1,54
"121015651",0,1,44
"121015867",0,1,51
"121016745",1,1,46
"121018157",0,0,42
"121019477",0,1,63
"121021665",0,1,43
"121027122",1,1,39
"121028352",0,1,50
"121029427",0,0,44
"121029925",0,1,43
"121031811",0,1,52
"121032198",1,1,40
"121032770",0,0,26
"121034698",0,1,47
"121034929",0,1,31
"121036252",1,1,65
"121036758",0,0,46
"121037753",1,0,41
"121038339",0,1,46
"121042253",0,1,49
"121042368",1,1,24
"121043241",0,1,62
"121045795",0,1,45
"121047608",0,1,40
"121047700",0,1,59
"121047861",0,1,45
"121049769",0,1,54
"121051288",1,0,32
"121051397",1,1,35
"121052485",0,1,35
"121055844",0,1,50
"121056987",1,1,53
"121057913",0,1,68
"121060351",0,0,44
"121060871",0,1,41
"121061197",0,1,43
"121061319",1,1,36
"121062864",1,0,65
"121062941",0,0,25
"121063162",1,0,36
"121065081",1,1,44
"121065510",0,1,46
"121066785",1,1,33
"121071612",0,1,58
"121072488",0,1,45
"121072587",0,0,44
"121075559",0,1,48
"121076147",1,0,56
"121076617",0,1,26
"121077434",0,0,34
"121079451",1,1,77
"121080110",0,1,55
"121081318",0,1,39
"121082855",0,1,71
"121084050",0,0,43
"121085136",0,0,29
"121086784",0,0,41
"121087441",1,1,45
"121089443",0,1,29
"121090440",0,1,29
"121092934",0,0,49
"121093196",0,0,30
"121093829",0,1,38
"121098732",0,0,54
"121099503",1,1,37
"121099906",0,1,61
"121100330",0,1,39
"121101148",1,1,27
"121103004",1,1,43
"121104667",1,1,45
"121105164",0,0,51
"121107174",0,0,36
"121107600",0,0,37
"121107916",0,1,34
"121109156",0,1,33
"121112037",1,1,60
"121115148",0,1,28
"121115360",1,1,35
"121115887",0,1,39
"121118472",0,1,36
"121119629",1,0,49
"121130813",1,1,42
"121131223",0,1,46
"121133418",0,1,53
"121134867",1,0,35
"121136051",0,1,36
"121143059",0,0,35
"121143858",1,0,44
"121145098",0,1,57
"121149778",1,1,55
"121152067",1,1,62
"121159618",0,1,51
"121165002",0,1,51
"121165968",0,1,28
"121166911",0,1,27
"121169495",0,1,36
"121170239",0,0,55
"121172384",0,1,39
"121176260",1,1,61
"121178182",0,1,45
"121181981",1,1,45
"121182028",0,1,45
"121184866",0,1,51
"121184873",0,1,41
"121185082",0,1,61
"121185172",1,1,51
"121187115",0,1,52
"121189670",0,1,30
"121189962",1,0,28
"121191207",0,1,53
"121193245",1,1,48
"121193505",1,0,31
"121194613",1,1,43
"121196646",0,1,48
"121198090",0,1,52
"121198843",1,1,34
"121199361",0,1,30
"121199867",1,1,37
"122000037",0,0,43
"122000101",0,1,65
"122000128",0,1,39
"122000299",1,1,35
"122000332",0,1,43
"122000451",1,1,34
"122000591",0,0,28
"122001040",1,0,38
"122001078",1,1,44
"122001181",0,1,26
"122001488",1,1,30
"122001523",0,1,35
"122001702",0,1,41
"122001707",0,0,40
"122002040",1,1,27
"122002203",0,1,34
"122002392",1,1,28
"122002673",0,1,27
"122002753",0,1,33
"122002964",1,0,41
"122003024",0,1,47
"122003255",0,1,33
"122004203",0,1,40
"122004208",1,1,31
"122004224",0,1,59
"122004414",0,1,42
"122004483",0,1,30
"122004625",1,1,37
"122004796",0,0,27
"122004926",1,1,35
"122005110",0,1,43
"122005257",0,1,35
"122005535",0,1,33
"122005661",1,1,34
"122006110",0,0,25
"122006171",0,1,41
"122006321",0,1,40
"122006558",1,0,33
"122006807",0,0,40
"122006819",0,1,41
"122006911",0,1,38
"122006955",0,0,37
"122007316",0,1,33
"122007435",1,1,42
"122007457",1,1,25
"122007648",0,1,39
"122007743",1,1,36
"122008050",1,1,41
"122008060",1,1,30
"122008142",0,1,39
"122008143",0,1,26
"122008578",0,1,42
"122008637",1,0,59
"122008798",1,0,37
"122008968",1,1,34
"122009131",0,1,40
"122009143",0,1,44
"122009187",1,1,30
"122009429",1,1,28
"122009832",0,1,44
"122010231",0,1,30
"122010333",0,0,43
"122010389",0,1,35
"122010514",1,1,42
"122010578",0,1,40
"122011238",1,1,30
"122011268",0,1,31
"122011444",0,1,26
"122011484",0,1,29
"122011904",0,1,30
"122011923",1,1,44
"122012008",0,1,27
"122012147",0,1,44
"122012805",0,1,42
"122012982",0,1,32
"122013164",0,1,32
"122013377",0,1,32
"122013441",1,0,39
"122013638",1,1,33
"122013994",0,1,43
"122014046",0,1,42
"122014108",0,1,44
"122014175",1,0,39
"122014313",0,1,50
"122014399",1,1,33
"122014790",1,1,42
"122014852",0,1,29
"122014908",0,1,44
"122014918",0,1,32
"122014945",0,1,44
"122014973",0,1,28
"122015249",1,1,43
"122015277",0,1,34
"122015828",1,1,43
"122015890",0,1,31
"122015915",0,1,42
"122016184",0,1,42
"122016206",0,1,32
"122016554",0,1,35
"122016658",0,1,39
"122016737",0,1,30
"122016821",0,1,26
"122016922",0,1,29
"122017053",1,1,33
"122017172",0,1,31
"122017250",0,1,34
"122017268",0,1,26
"122017443",1,1,33
"122017487",0,1,43
"122017534",0,1,38
"122017604",0,1,38
"122017887",0,1,33
"122018209",0,1,33
"122018265",0,1,42
"122018454",0,1,43
"122018484",1,1,34
"122018491",1,1,38
"122019046",1,1,42
"122019249",0,1,37
"122019295",0,1,41
"122019467",0,1,29
"122019517",1,1,36
"122019546",0,1,33
"122019596",0,1,42
"122019870",0,1,26
"122019956",1,0,42
"122020137",0,0,40
"122020381",0,0,41
"122020400",1,1,40
"122020434",0,1,63
"122020511",0,0,39
"122020928",0,1,58
"122020974",1,0,44
"122020976",0,1,34
"122020994",0,0,41
"122021170",0,1,29
"122021394",0,0,54
"122021401",1,1,41
"122021433",0,0,39
"122021804",1,0,38
"122021894",1,1,28
"122022083",1,1,27
"122022108",0,0,26
"122022200",1,1,44
"122022878",1,1,38
"122022920",1,1,35
"122023316",0,1,33
"122023470",1,1,41
"122023628",0,1,43
"122023867",0,1,39
"122023922",1,1,42
"122024227",0,1,42
"122024306",0,1,30
"122024740",1,1,41
"122024954",0,0,39
"122025018",0,1,34
"122025025",1,1,30
"122025237",1,1,32
"122025255",0,1,37
"122025340",0,1,40
"122025441",0,1,26
"122025577",0,0,44
"122025599",1,0,41
"122025628",0,1,36
"122025810",0,1,39
"122026292",1,0,44
"122026320",1,1,43
"122026473",0,1,32
"122026500",0,0,39
"122026771",1,1,41
"122027117",0,1,43
"122027326",0,1,33
"122027490",0,1,41
"122027559",1,1,37
"122027686",0,1,46
"122027689",1,0,47
"122027764",1,1,25
"122027833",0,1,34
"122028154",0,1,36
"122028213",0,1,34
"122028471",1,0,43
"122028588",0,1,41
"122028660",0,1,39
"122028729",0,1,56
"122028754",1,1,39
"122028878",1,1,43
"122028926",0,1,41
"122029387",1,0,25
"122029568",0,1,39
"122029613",1,1,41
"122029852",1,1,38
"122029855",0,1,34
"122029859",0,1,35
"122030234",0,1,36
"122030486",0,1,41
"122030673",1,1,38
"122030870",0,1,32
"122031238",0,0,37
"122031304",0,1,29
"122031483",0,1,37
"122031651",0,1,40
"122031699",0,1,35
"122031720",0,1,29
"122031813",0,1,40
"122031837",0,1,32
"122032105",0,1,33
"122032316",1,0,30
"122032385",0,1,35
"122032390",0,1,40
"122032683",0,1,33
"122032807",1,1,29
"122032818",0,1,38
"122032884",0,1,40
"122032892",0,1,43
"122033131",0,1,36
"122033333",1,1,36
"122033407",0,1,39
"122034500",0,1,25
"122034894",1,1,30
"122035162",0,1,31
"122035469",0,1,40
"122035483",0,1,28
"122035596",0,0,43
"122035722",1,1,42
"122035743",0,0,39
"122035860",1,0,36
"122035966",1,0,42
"122036012",0,0,33
"122036031",0,1,42
"122036095",0,1,30
"122036349",1,0,32
"122036355",1,1,37
"122036374",1,1,31
"122036427",0,1,54
"122036577",1,0,42
"122036850",0,1,30
"122037069",0,1,40
"122037370",0,1,41
"122037758",0,1,27
"122037801",1,1,41
"122037943",0,1,39
"122037951",1,1,26
"122038018",1,1,36
"122038280",0,1,39
"122038364",0,1,28
"122038627",0,1,42
"122038800",1,1,38
"122038834",0,1,41
"122038994",1,1,41
"122039109",0,1,33
"122039310",1,0,42
"122039414",1,1,36
"122039521",0,1,36
"122039623",1,1,41
"122039793",0,1,28
"122039978",0,1,36
"122040071",0,1,27
"122040223",1,1,37
"122040322",0,1,42
"122040354",0,1,40
"122040516",1,1,43
"122040558",1,0,35
"122040679",1,0,25
"122040758",1,0,42
"122040800",1,1,37
"122040856",0,1,37
"122041092",0,1,26
"122041196",0,0,38
"122041401",0,1,41
"122041426",0,1,30
"122041446",1,1,44
"122041701",1,1,44
"122041725",0,1,42
"122041887",1,1,42
"122041977",0,0,34
"122042139",0,1,40
"122042401",0,1,31
"122042475",1,1,37
"122042488",0,1,56
"122042581",0,1,43
"122042636",0,1,37
"122042739",0,0,34
"122042821",0,1,41
"122042843",0,1,37
"122042954",0,0,41
"122042961",0,1,35
"122042994",1,0,42
"122043121",0,1,30
"122043498",0,1,35
"122043520",1,1,27
"122043650",1,0,41
"122043705",0,1,26
"122043724",0,1,32
"122043865",0,1,41
"122043918",0,1,35
"122044210",1,1,27
"122044594",0,1,37
"122044860",0,0,43
"122044908",0,0,30
"122045344",0,0,26
"122045717",1,1,43
"122045888",1,1,43
"122046000",1,0,43
"122046276",0,1,40
"122046369",0,1,39
"122046486",1,1,32
"122046609",1,1,35
"122046906",0,1,26
"122046926",1,1,40
"122047048",0,1,26
"122047179",0,1,37
"122047570",1,1,35
"122047634",0,1,30
"122047909",1,0,40
"122047946",0,1,43
"122048007",1,1,40
"122048155",0,1,29
"122048162",0,1,42
"122048299",0,0,29
"122048341",0,1,43
"122048442",0,1,26
"122048451",0,0,39
"122048499",0,1,33
"122048810",0,0,35
"122049089",1,1,35
"122049854",0,1,33
"122049867",0,0,34
"122050063",0,0,36
"122050068",0,1,41
"122050257",0,1,30
"122050594",1,1,36
"122050645",1,0,25
"122050753",1,1,29
"122050776",0,1,36
"122050917",0,1,42
"122050990",0,1,41
"122051240",1,1,27
"122051260",0,1,42
"122051280",0,1,27
"122051401",0,1,32
"122051436",1,1,38
"122051488",1,1,35
"122051494",0,0,36
"122051510",0,0,39
"122051734",0,1,27
"122051774",0,1,38
"122051915",1,0,43
"122052167",1,1,32
"122052181",0,1,34
