"","Y"
"121000624","0"
"121002145","0"
"121010609","0"
"121015651","0"
"121015867","0"
"121016745","0"
"121018157","0"
"121019477","0"
"121021665","0"
"121027122","0"
"121028352","0"
"121029427","0"
"121029925","0"
"121031811","0"
"121032198","0"
"121032770","0"
"121034698","0"
"121034929","0"
"121036252","0"
"121036758","0"
"121037753","0"
"121038339","0"
"121042253","0"
"121042368","0"
"121043241","0"
"121045795","0"
"121047608","0"
"121047700","0"
"121047861","0"
"121049769","0"
"121051288","0"
"121051397","0"
"121052485","0"
"121055844","0"
"121056987","0"
"121057913","0"
"121060351","0"
"121060871","0"
"121061197","0"
"121061319","0"
"121062864","0"
"121062941","0"
"121063162","0"
"121065081","0"
"121065510","0"
"121066785","0"
"121071612","0"
"121072488","0"
"121072587","0"
"121075559","0"
"121076147","0"
"121076617","0"
"121077434","0"
"121079451","0"
"121080110","0"
"121081318","0"
"121082855","0"
"121084050","0"
"121085136","0"
"121086784","0"
"121087441","0"
"121089443","0"
"121090440","0"
"121092934","0"
"121093196","0"
"121093829","0"
"121098732","0"
"121099503","0"
"121099906","0"
"121100330","0"
"121101148","0"
"121103004","0"
"121104667","0"
"121105164","0"
"121107174","0"
"121107600","0"
"121107916","0"
"121109156","0"
"121112037","0"
"121115148","0"
"121115360","0"
"121115887","0"
"121118472","0"
"121119629","0"
"121130813","0"
"121131223","0"
"121133418","0"
"121134867","0"
"121136051","0"
"121143059","0"
"121143858","0"
"121145098","0"
"121149778","0"
"121152067","0"
"121159618","0"
"121165002","0"
"121165968","0"
"121166911","0"
"121169495","0"
"121170239","0"
"121172384","0"
"121176260","0"
"121178182","0"
"121181981","0"
"121182028","0"
"121184866","0"
"121184873","0"
"121185082","0"
"121185172","0"
"121187115","0"
"121189670","0"
"121189962","0"
"121191207","0"
"121193245","0"
"121193505","0"
"121194613","0"
"121196646","0"
"121198090","0"
"121198843","0"
"121199361","0"
"121199867","0"
"122000037","20"
"122000101","25"
"122000128","10"
"122000299","4"
"122000332","20"
"122000451","50"
"122000591","0"
"122001040","9"
"122001078","10"
"122001181","12"
"122001488","40"
"122001523","15"
"122001702","10"
"122001707","20"
"122002040","12"
"122002203","10"
"122002392","40"
"122002673","20"
"122002753","20"
"122002964","30"
"122003024","20"
"122003255","20"
"122004203","20"
"122004208","12"
"122004224","20"
"122004414","20"
"122004483","60"
"122004625","50"
"122004796","6"
"122004926","10"
"122005110","10"
"122005257","10"
"122005535","15"
"122005661","5"
"122006110","30"
"122006171","6"
"122006321","4"
"122006558","18"
"122006807","8"
"122006819","2"
"122006911","15"
"122006955","30"
"122007316","20"
"122007435","5"
"122007457","4"
"122007648","12"
"122007743","35"
"122008050","50"
"122008060","20"
"122008142","20"
"122008143","15"
"122008578","20"
"122008637","30"
"122008798","10"
"122008968","6"
"122009131","80"
"122009143","20"
"122009187","60"
"122009429","30"
"122009832","50"
"122010231","11"
"122010333","10"
"122010389","15"
"122010514","10"
"122010578","80"
"122011238","10"
"122011268","5"
"122011444","10"
"122011484","7"
"122011904","6"
"122011923","20"
"122012008","15"
"122012147","15"
"122012805","20"
"122012982","10"
"122013164","15"
"122013377","5"
"122013441","9"
"122013638","12"
"122013994","40"
"122014046","20"
"122014108","12"
"122014175","20"
"122014313","4"
"122014399","5"
"122014790","15"
"122014852","6"
"122014908","20"
"122014918","8"
"122014945","15"
"122014973","25"
"122015249","20"
"122015277","10"
"122015828","60"
"122015890","20"
"122015915","10"
"122016184","50"
"122016206","10"
"122016554","7"
"122016658","20"
"122016737","20"
"122016821","20"
"122016922","20"
"122017053","10"
"122017172","15"
"122017250","10"
"122017268","5"
"122017443","20"
"122017487","8"
"122017534","40"
"122017604","6"
"122017887","10"
"122018209","20"
