,Y
011_S_0021,-0.160000000000004
011_S_0021.1,-0.700000000000003
011_S_0023,-1.26
011_S_0023.1,-1.85
073_S_0089,0.189999999999998
073_S_0089.1,-1.2
137_S_0301,-1.36
073_S_0311,-0.129999999999995
002_S_0413,0.439999999999998
002_S_0413.1,0.370000000000005
002_S_0685,-1.35
073_S_0746,-1.21
129_S_0778,1.56
129_S_0778.1,-0.289999999999999
002_S_1155,0.770000000000003
013_S_1186,-0.969999999999999
013_S_1186.1,-1.53
013_S_1186.2,-4.52
941_S_1195,0.0599999999999987
941_S_1195.1,-0.68
941_S_1202,0.669999999999998
002_S_1261,-1.11
002_S_1261.1,-1.34
002_S_1268,-1.13
002_S_1280,0.159999999999997
002_S_1280.1,-2.5
128_S_2002,-1.37
128_S_2002.1,0.220000000000006
128_S_2002.2,-0.709999999999994
016_S_2007,2.83
016_S_2007.1,-2.67
016_S_2007.2,0
016_S_2007.3,0.399999999999999
002_S_2010,-0.280000000000001
002_S_2010.1,-0.300000000000004
002_S_2010.2,-1.18
002_S_2010.3,-0.75
031_S_2018,0.549999999999997
031_S_2018.1,-0.100000000000001
031_S_2018.2,0.409999999999997
031_S_2018.3,-0.950000000000003
031_S_2022,0.819999999999993
031_S_2022.1,-0.400000000000006
031_S_2022.2,-0.370000000000005
031_S_2022.3,-0.460000000000001
031_S_2022.4,-0.600000000000001
072_S_2026,-2.3
072_S_2026.1,0.73
072_S_2026.2,-2.29
072_S_2027,-0.0700000000000003
072_S_2027.1,-1.28
072_S_2027.2,-0.439999999999998
072_S_2027.3,-1.73
016_S_2031,2
016_S_2031.1,-0.0700000000000003
016_S_2031.2,0.939999999999998
016_S_2031.3,-0.0900000000000034
128_S_2036,-0.630000000000003
128_S_2036.1,-0.560000000000002
128_S_2036.2,-1.42
128_S_2036.3,-1.61000000000001
072_S_2037,0.340000000000003
072_S_2037.1,-0.0499999999999972
072_S_2037.2,-0.939999999999998
072_S_2037.3,-2.76
099_S_2042,1
099_S_2042.1,1.38
099_S_2042.2,-1.44
099_S_2042.3,-2.07
002_S_2043,-0.299999999999997
002_S_2043.1,-1.95
128_S_2045,0.0499999999999972
128_S_2045.1,0.82
128_S_2045.2,-0.940000000000005
098_S_2047,-2.45
098_S_2047.1,-0.900000000000006
098_S_2047.2,-3.01000000000001
098_S_2047.3,-1.61
098_S_2052,-1.03
098_S_2052.1,-1.3
123_S_2055,-0.0700000000000003
123_S_2055.1,-0.370000000000005
123_S_2055.2,-1.43
123_S_2055.3,-2.37
007_S_2058,0.329999999999998
007_S_2058.1,2.49
007_S_2058.2,0.859999999999999
941_S_2060,0.400000000000006
941_S_2060.1,-0.479999999999997
941_S_2060.2,-1.68
035_S_2061,1.97000000000001
035_S_2061.1,-0.0899999999999963
035_S_2061.2,1.21
035_S_2061.3,1.19
099_S_2063,1.86
099_S_2063.1,0.520000000000003
099_S_2063.2,1.56
099_S_2063.3,1.08000000000001
023_S_2068,-1.42
023_S_2068.1,-2.1
023_S_2068.2,-3.91
023_S_2068.3,-2.4
072_S_2070,-0.68
072_S_2072,0.699999999999999
072_S_2072.1,-0.550000000000001
072_S_2072.2,-1.83
072_S_2072.3,-0.900000000000002
002_S_2073,-0.939999999999998
002_S_2073.1,-1.76
002_S_2073.2,-1.61
035_S_2074,-0.530000000000001
035_S_2074.1,0.230000000000004
035_S_2074.2,-0.420000000000002
035_S_2074.3,-2.13
035_S_2074.4,-1.96
098_S_2079,0.170000000000002
098_S_2079.1,0.25
098_S_2079.2,-0.560000000000002
098_S_2079.3,1.82
072_S_2083,-0.219999999999999
072_S_2083.1,-1.08
072_S_2083.2,-3.25
072_S_2083.3,-2.67
022_S_2087,1.69
022_S_2087.1,1.3
022_S_2087.2,-1.29
022_S_2087.3,2.86
072_S_2093,-0.269999999999996
072_S_2093.1,-0.729999999999997
072_S_2093.2,-0.729999999999997
072_S_2093.3,-1.16
082_S_2099,-0.48
082_S_2099.1,-0.32
082_S_2099.2,-0.84
082_S_2099.3,-1.77
021_S_2100,0.16
021_S_2100.1,1.8
021_S_2100.2,1.99
021_S_2100.3,0.389999999999997
007_S_2106,-0.600000000000001
