,idx,method,train,test
0,46,Base,0.9951094388961792,1.0176146030426023
1,46,NN1,0.9562381505966188,1.0046265125274658
2,46,NN2,0.9707993865013124,1.0046510696411133
3,0,Base,0.9971278309822084,1.0095139741897583
4,0,NN1,0.9890339374542236,1.0022705793380735
5,0,NN2,0.975861430168152,0.9964786171913148
6,12,Base,1.0090833902359009,0.9617015719413756
7,12,NN1,1.0091749429702759,0.9614310264587402
8,12,NN2,1.0091259479522705,0.9614970088005066
9,96,Base,1.006294846534729,0.973164975643158
10,96,NN1,0.9777368903160096,0.9512704610824584
11,96,NN2,0.9867260456085204,0.964035987854004
12,59,Base,0.992135524749756,1.0296547412872314
13,59,NN1,0.987131655216217,1.0221301317214966
14,59,NN2,0.9719704389572144,1.010452151298523
15,62,Base,0.9939513206481934,1.0226917266845703
16,62,NN1,0.9550957083702089,1.0273718833923342
17,62,NN2,0.9654539823532104,1.0226877927780151
18,72,Base,1.010763168334961,0.9565054774284364
19,72,NN1,0.9783707857131958,0.939211130142212
20,72,NN2,0.8196385502815247,1.0043973922729492
21,35,Base,1.0020593404769895,0.990152895450592
22,35,NN1,0.9644739627838136,0.9811277985572816
23,35,NN2,0.9788439869880676,0.983956217765808
24,85,Base,1.0057501792907717,0.9751604795455932
25,85,NN1,0.9724072813987732,0.9626976251602172
26,85,NN2,0.983389377593994,0.9689801931381226
27,2,Base,0.9945777654647828,1.0197119712829592
28,2,NN1,0.9830331206321716,1.0195367336273191
29,2,NN2,0.9698619842529296,1.01563560962677
30,48,Base,0.9960073828697203,1.0142029523849487
31,48,NN1,0.989028811454773,1.00332772731781
32,48,NN2,0.9806115031242372,0.9944072365760804
33,51,Base,0.9786093831062316,1.0849153995513916
34,51,NN1,0.9525250792503356,1.0541573762893677
35,51,NN2,0.9626420140266418,1.071157693862915
36,14,Base,1.0093390941619873,0.9606167674064636
37,14,NN1,0.9742480516433716,0.9543098211288452
38,14,NN2,0.9871467351913452,0.9554691910743712
39,98,Base,0.9855918288230896,1.0559508800506592
40,98,NN1,0.9513915181159972,1.0314178466796875
41,98,NN2,0.9686756134033204,1.0363109111785889
42,74,Base,1.0007020235061646,0.9955487847328186
43,74,NN1,0.988628625869751,0.9902969002723694
44,74,NN2,0.9735220670700072,0.994197964668274
45,37,Base,0.9961373209953308,1.013819456100464
46,37,NN1,0.9626370668411256,0.9978317022323608
47,37,NN2,0.9759167432785034,1.0051493644714355
48,40,Base,0.9950160384178162,1.0182261466979978
49,40,NN1,0.9841940999031068,1.0129023790359497
50,40,NN2,0.9755042791366576,1.0066170692443848
51,87,Base,0.9935396909713744,1.0241278409957886
52,87,NN1,0.9603638648986816,1.016035079956055
53,87,NN2,0.9695618748664856,1.0212395191192627
54,90,Base,0.9934976100921632,1.02403724193573
55,90,NN1,0.9848257899284364,1.0189448595046997
56,90,NN2,0.975960612297058,1.011744499206543
57,4,Base,1.0107028484344482,0.9570456743240356
58,4,NN1,0.9749042391777042,0.9456968903541564
59,4,NN2,0.9907779693603516,0.9461536407470704
60,53,Base,0.9976850152015686,1.0073504447937012
61,53,NN1,0.9646852612495422,1.0005673170089722
62,53,NN2,0.9736188650131226,1.0026297569274902
63,63,Base,1.0070568323135376,0.9697433710098268
64,63,NN1,0.9843162894248962,0.92842036485672
65,63,NN2,0.9979538917541504,0.9500302076339722
66,26,Base,1.0047626495361328,0.9789944291114808
67,26,NN1,0.9693911671638488,0.9631431102752686
68,26,NN2,0.983799159526825,0.9637753367424012
69,76,Base,1.0072680711746216,0.9688990712165833
70,76,NN1,0.9691835045814514,0.9705581068992616
71,76,NN2,0.9814952611923218,0.9710251688957214
72,39,Base,1.008978247642517,0.962679088115692
73,39,NN1,1.0088275671005251,0.9626089930534364
74,39,NN2,1.008978247642517,0.9626260995864868
75,42,Base,1.0031293630599976,0.985889494419098
76,42,NN1,0.9924497604370116,0.979119062423706
77,42,NN2,0.9825370907783508,0.9754896759986876
78,6,Base,1.0004457235336304,0.9975790977478028
79,6,NN1,1.000446081161499,0.9975956678390504
80,6,NN2,1.0004761219024658,0.9967051148414612
81,99,Base,0.9871119260787964,1.0498814582824707
82,99,NN1,0.9487284421920776,1.0519938468933103
83,99,NN2,0.9587753415107728,1.0473508834838867
84,65,Base,0.9990054965019226,1.0020927190780642
85,65,NN1,0.9572477936744692,1.011155128479004
86,65,NN2,0.968749463558197,1.0073039531707764
87,28,Base,1.0003048181533811,0.9971061944961548
88,28,NN1,0.967996060848236,0.9725949764251708
89,28,NN2,0.9832067489624025,0.9818474054336548
90,31,Base,1.0108356475830078,0.9546222686767578
91,31,NN1,0.9794785976409912,0.930822253227234
92,31,NN2,0.9905188083648682,0.9331575632095336
93,78,Base,0.9962486028671264,1.0131983757019043
94,78,NN1,0.9604698419570924,1.0075585842132568
95,78,NN2,0.9714429974555968,1.0103341341018677
96,81,Base,1.0059784650802612,0.9743785262107848
