method,idx,train,test
FLM1,5,0.9052,0.9469
FLM1,4,0.8889,1.028
FLM1,3,0.898,0.9859
FLM1,2,0.9456,0.7877
FLM1,1,0.9038,0.9557
FLM1,15,0.9235,0.8817
FLM1,14,0.9161,0.9298
FLM1,13,0.9344,0.831
FLM1,8,0.9354,0.8384
FLM1,9,0.8787,1.072
FLM1,10,0.9338,0.8265
FLM1,11,0.9353,0.8377
FLM1,12,0.8974,0.975
FLM1,6,0.9257,0.8622
FLM1,7,0.8842,1.041
FLM1,18,0.9646,0.7363
FLM1,16,0.9315,0.85
FLM1,17,0.9209,0.9054
FLM1,19,0.9055,0.9445
FLM1,22,0.9293,0.8582
FLM1,21,0.982,0.6736
FLM1,20,0.8995,0.9703
FLM1,23,0.9565,0.7605
FLM1,24,0.9382,0.8241
FLM1,26,0.8962,1.01
FLM1,25,0.9735,0.6851
FLM1,35,0.8825,1.064
FLM1,34,0.9177,0.9147
FLM1,27,0.8733,1.094
FLM1,28,0.8749,1.078
FLM1,29,0.9114,0.942
FLM1,30,0.8731,1.099
FLM1,32,0.9026,0.9648
FLM1,33,0.9261,0.8613
FLM1,31,0.8981,0.9845
FLM1,36,0.9015,0.9816
FLM1,37,0.9333,0.8565
FLM1,39,0.9263,0.879
FLM1,38,0.8792,1.061
FLM1,40,0.914,0.9136
FLM1,49,0.8907,1.033
FLM1,48,0.9109,0.9275
FLM1,51,0.9478,0.7747
FLM1,52,0.9106,0.9296
FLM1,46,0.894,0.9928
FLM1,45,0.9056,0.9492
FLM1,47,0.8963,0.9904
FLM1,42,0.9245,0.8993
FLM1,44,0.8988,1.007
FLM1,43,0.8939,0.9922
FLM1,41,0.9035,0.9636
FLM1,50,0.949,0.775
FLM1,58,0.9262,0.8588
FLM1,54,0.9104,0.9308
FLM1,53,0.8696,1.095
FLM1,55,0.9624,0.738
FLM1,59,0.9427,0.7987
FLM1,56,0.9278,0.8606
FLM1,57,0.8477,1.182
FLM1,67,0.9372,0.8193
FLM1,68,0.8823,1.036
FLM1,69,0.9129,0.9278
FLM1,62,0.9283,0.8697
FLM1,66,0.8936,0.9991
FLM1,60,0.9268,0.8659
FLM1,64,0.9186,0.8878
FLM1,63,0.8982,1.002
FLM1,65,0.9112,0.9522
FLM1,61,0.9087,0.9364
FLM1,75,0.8997,0.9951
FLM1,70,0.9365,0.8185
FLM1,72,0.8751,1.068
FLM1,71,0.9291,0.8652
FLM1,73,0.895,0.9875
FLM1,74,0.8978,0.9776
FLM1,79,0.9652,0.6945
FLM1,81,0.9101,0.9412
FLM1,82,0.9215,0.9001
FLM1,80,0.9851,0.6613
FLM1,76,0.9245,0.8809
FLM1,77,0.9076,0.9541
FLM1,78,0.8941,1
FLM1,83,0.9065,0.9555
FLM1,84,0.9163,0.8996
FLM1,85,0.9155,0.9096
FLM1,90,0.9211,0.888
FLM1,89,0.935,0.8557
FLM1,92,0.9362,0.8244
FLM1,93,0.8913,0.9954
FLM1,91,0.9156,0.9201
FLM1,94,0.8786,1.058
FLM1,95,0.9172,0.9036
FLM1,86,0.9161,0.9043
FLM1,88,0.9063,0.9762
FLM1,87,0.9286,0.8618
FLM1,99,0.928,0.8731
FLM1,98,0.9202,0.8948
FLM1,100,0.9432,0.7883
FLM1,96,0.904,0.946
FLM1,97,0.9016,0.9695
FN1,29,0.9143,0.9207
FN1,31,0.9146,0.9524
FN1,34,0.921,0.9298
FN1,33,0.9265,0.8896
FN1,39,0.9321,0.8767
FN1,40,0.9306,0.9071
FN1,17,0.9323,0.8979
FN1,32,0.9089,0.9716
FN1,36,0.9081,0.9632
FN1,37,0.942,0.8613
FN1,15,0.9295,0.8995
FN1,35,0.8921,1.065
FN1,38,0.8907,1.051
FN1,30,0.886,1.087
FN1,6,0.9462,0.8649
FN1,24,0.9399,0.8442
FN1,1,0.9291,0.9149
FN1,2,0.9582,0.773
FN1,18,0.9657,0.7433
FN1,28,0.8757,1.098
FN1,7,0.8878,1.045
FN1,25,0.989,0.6863
FN1,23,0.9651,0.7654
FN1,27,0.8808,1.079
FN1,3,0.9147,0.9834
FN1,8,0.9467,0.8462
FN1,26,0.9021,0.9864
FN1,4,0.894,1.028
FN1,22,0.9463,0.8227
FN1,5,0.918,0.9483
FN1,14,0.9203,0.9427
FN1,16,0.9522,0.8137
FN1,20,0.907,0.9729
FN1,19,0.9209,0.9209
FN1,21,0.9782,0.68
FN1,41,0.9161,0.9685
FN1,46,0.909,0.9754
FN1,47,0.9147,0.9581
FN1,10,0.9492,0.834
FN1,43,0.8986,0.9767
FN1,45,0.9291,0.9265
FN1,42,0.9239,0.8951
FN1,9,0.8799,1.079
FN1,44,0.9088,1.053
FN1,11,0.9514,0.8475
FN1,51,0.9603,0.7973
FN1,53,0.8803,1.103
FN1,52,0.92,0.9243
FN1,54,0.9184,0.9321
FN1,50,0.9521,0.7701
FN1,49,0.8936,1.042
FN1,68,0.8903,1.035
FN1,69,0.9271,0.912
FN1,48,0.9264,0.9064
FN1,65,0.9074,0.9557
FN1,66,0.896,1.013
FN1,67,0.943,0.8032
FN1,59,0.946,0.8108
FN1,13,0.9388,0.8337
FN1,61,0.911,0.9538
FN1,64,0.9325,0.8741
FN1,63,0.8987,1.016
FN1,60,0.9359,0.8612
FN1,58,0.9335,0.8538
FN1,62,0.9366,0.8773
FN1,55,0.9663,0.753
FN1,56,0.9342,0.8526
FN1,57,0.8487,1.185
FN1,70,0.9375,0.8253
FN1,77,0.9152,0.941
FN1,75,0.911,1.004
FN1,78,0.904,0.9801
FN1,73,0.9022,0.9862
FN1,76,0.9341,0.8874
FN1,72,0.8869,1.074
FN1,74,0.9014,0.9849
FN1,80,0.9882,0.6565
FN1,79,0.9706,0.711
FN1,71,0.9432,0.8646
FN1,90,0.9201,0.9055
FN1,88,0.9116,0.9421
FN1,89,0.9406,0.8479
FN1,83,0.9083,0.9616
FN1,81,0.9096,0.9506
FN1,82,0.927,0.8788
