type,noise,method,index,train,test,mse1,mse2,cor1,cor2
vector,1,FLM1,21,0.4408,0.5453,0.4638,0.5491,0.9357,0.9232
vector,1,FLM1,2,0.2727,0.3586,0.3091,0.3841,0.9582,0.9492
vector,1,FLM1,3,0.2934,0.3425,0.3224,0.418,0.9097,0.9038
vector,1,FLM1,5,0.4169,0.7099,0.4906,0.5057,0.9338,0.919
vector,1,FLM1,4,0.2649,0.2925,0.3091,0.3439,0.9372,0.9322
vector,1,FLM1,1,0.4113,0.4765,0.4437,0.5382,0.8508,0.8314
vector,1,FLM1,8,0.2586,0.4031,0.3056,0.3181,0.919,0.8818
vector,1,FLM1,11,0.3268,0.3101,0.3361,0.3608,0.9716,0.9696
vector,1,FLM1,9,0.2352,0.2352,0.2401,0.2985,0.9126,0.9151
vector,1,FLM1,6,0.2961,0.3557,0.3462,0.3609,0.8931,0.8809
vector,1,FLM1,10,0.3349,0.3116,0.3892,0.3477,0.9221,0.9235
vector,1,FLM1,7,0.7333,0.6405,0.7519,0.8466,0.9118,0.9301
vector,1,FLM1,17,0.1732,0.1769,0.1745,0.1924,0.9485,0.949
vector,1,FLM1,15,0.3773,0.4461,0.3869,0.5185,0.9426,0.9285
vector,1,FLM1,14,0.3441,0.4586,0.3781,0.4748,0.8668,0.8239
vector,1,FLM1,13,0.1811,0.2315,0.2023,0.1965,0.943,0.9328
vector,1,FLM1,16,0.3571,0.3593,0.3989,0.3255,0.9341,0.9444
vector,1,FLM1,12,0.5674,0.5116,0.6079,0.6664,0.9473,0.9494
vector,1,FLM1,20,0.4099,0.4341,0.414,0.5109,0.9499,0.9401
vector,1,FLM1,19,0.3576,0.3686,0.3866,0.3701,0.938,0.9286
vector,1,FLM1,18,0.1964,0.2482,0.1926,0.3003,0.9317,0.9118
vector,1,FLM1,23,0.5954,0.581,0.6451,0.6768,0.8199,0.8094
vector,1,FLM1,24,0.592,0.6667,0.6348,0.6297,0.9184,0.9127
vector,1,FLM1,22,0.3495,0.3914,0.4082,0.3079,0.8645,0.8544
vector,1,FLM1,25,0.172,0.2292,0.1927,0.2054,0.9886,0.9869
vector,1,FLM1,26,0.2401,0.2522,0.255,0.2612,0.9419,0.9396
vector,1,FLM1,27,0.2391,0.2427,0.2464,0.2924,0.9636,0.9601
vector,1,FLM1,32,0.4711,0.7322,0.5065,0.7274,0.9262,0.8903
vector,1,FLM1,31,0.206,0.2176,0.225,0.235,0.9562,0.9589
vector,1,FLM1,29,0.3876,0.2689,0.3829,0.4484,0.9234,0.9478
vector,1,FLM1,30,0.6238,0.6572,0.6715,0.6579,0.9286,0.9258
vector,1,FLM1,33,0.5399,0.5942,0.5821,0.5348,0.9345,0.925
vector,1,FLM1,28,0.2159,0.2556,0.2598,0.3161,0.9645,0.9581
vector,1,FLM1,42,0.4429,0.4951,0.3701,0.5407,0.9153,0.9028
vector,1,FLM1,43,0.4358,0.4513,0.4231,0.5292,0.8817,0.8821
vector,1,FLM1,41,0.5135,0.5575,0.551,0.5899,0.8854,0.8836
vector,1,FLM1,38,0.2183,0.2227,0.2265,0.302,0.9568,0.9541
vector,1,FLM1,40,0.317,0.3389,0.3472,0.3571,0.9514,0.9508
vector,1,FLM1,39,0.3087,0.337,0.3084,0.4037,0.9117,0.9007
vector,1,FLM1,35,0.2072,0.2332,0.2392,0.2102,0.9301,0.9176
vector,1,FLM1,34,0.328,0.2983,0.3377,0.4139,0.9033,0.9033
vector,1,FLM1,36,0.3541,0.4872,0.4109,0.4099,0.8856,0.8597
vector,1,FLM1,37,0.3746,0.4359,0.4376,0.3961,0.9366,0.9416
vector,1,FLM1,44,0.5646,0.6671,0.58,0.7688,0.8879,0.8521
vector,1,FLM1,46,0.5238,0.5836,0.5712,0.5446,0.9258,0.9122
vector,1,FLM1,45,0.3399,0.6688,0.3553,0.7342,0.8996,0.7962
vector,1,FLM1,48,0.4587,0.5928,0.4865,0.6341,0.9073,0.869
vector,1,FLM1,49,0.4579,0.4751,0.4996,0.4672,0.9526,0.9558
vector,1,FLM1,50,0.2186,0.2626,0.2188,0.2399,0.9627,0.9627
vector,1,FLM1,47,0.3216,0.4113,0.3057,0.3596,0.9662,0.957
vector,1,FLM1,54,0.4134,0.4461,0.3934,0.5709,0.901,0.8954
vector,1,FLM1,51,0.3544,0.8071,0.4249,0.3624,0.9448,0.9255
vector,1,FLM1,53,0.2371,0.3144,0.2642,0.296,0.9362,0.9172
vector,1,FLM1,52,0.3531,0.4271,0.4158,0.4343,0.9377,0.9262
vector,1,FLM1,57,0.2598,0.4603,0.3162,0.2838,0.9602,0.9445
vector,1,FLM1,55,0.2113,0.1814,0.2241,0.2661,0.9324,0.9388
vector,1,FLM1,56,0.1554,0.2948,0.1588,0.2039,0.9759,0.9566
vector,1,FLM1,60,0.2398,0.3163,0.2838,0.1982,0.9011,0.9047
vector,1,FLM1,61,0.2618,0.2948,0.2875,0.2953,0.938,0.9317
vector,1,FLM1,63,0.2507,0.3217,0.2943,0.3044,0.9483,0.9428
vector,1,FLM1,62,0.3967,0.3149,0.3963,0.5204,0.8938,0.9146
vector,1,FLM1,59,0.2728,0.363,0.3109,0.3797,0.9472,0.9338
vector,1,FLM1,58,0.5056,0.504,0.5181,0.6431,0.9314,0.9274
vector,1,FLM1,71,0.2653,0.343,0.2917,0.4533,0.9283,0.8852
vector,1,FLM1,65,0.2191,0.2337,0.241,0.287,0.9293,0.9248
vector,1,FLM1,70,0.1503,0.2336,0.171,0.2048,0.9354,0.9067
vector,1,FLM1,66,0.3316,0.3385,0.3313,0.3431,0.9611,0.9591
vector,1,FLM1,68,0.3148,0.3227,0.3285,0.3841,0.9475,0.9438
vector,1,FLM1,69,0.202,0.2328,0.2208,0.2195,0.9619,0.9536
vector,1,FLM1,67,0.6872,0.7672,0.8053,0.6762,0.834,0.8333
vector,1,FLM1,64,0.4411,0.4961,0.474,0.5052,0.8812,0.8709
vector,1,FLM1,75,0.2622,0.2876,0.2857,0.3392,0.8937,0.8863
vector,1,FLM1,76,0.1812,0.1655,0.2025,0.1973,0.929,0.9339
vector,1,FLM1,77,0.1905,0.2305,0.1967,0.2607,0.9639,0.9548
vector,1,FLM1,72,0.6345,0.6248,0.6462,0.6955,0.8785,0.8695
vector,1,FLM1,74,0.4387,0.4748,0.4884,0.5721,0.9314,0.9079
vector,1,FLM1,73,0.3115,0.3349,0.3119,0.399,0.9285,0.9037
vector,1,FLM1,83,0.3896,0.3837,0.4534,0.4444,0.9046,0.9099
vector,1,FLM1,82,0.7095,0.6249,0.7342,0.5908,0.9305,0.9443
vector,1,FLM1,78,0.1593,0.1807,0.1617,0.1513,0.964,0.9469
vector,1,FLM1,81,0.1799,0.1653,0.1767,0.2134,0.9318,0.9374
vector,1,FLM1,79,0.2707,0.2218,0.2905,0.2927,0.8827,0.9058
vector,1,FLM1,80,0.1484,0.1757,0.1646,0.1498,0.9764,0.9749
vector,1,FLM1,90,0.196,0.2491,0.214,0.2591,0.9504,0.9344
vector,1,FLM1,92,0.2227,0.2407,0.2226,0.2518,0.9489,0.9431
vector,1,FLM1,89,0.2991,0.3577,0.3233,0.4007,0.944,0.936
vector,1,FLM1,88,0.2247,0.2406,0.2441,0.307,0.9387,0.9348
vector,1,FLM1,87,0.2263,0.2555,0.2308,0.28,0.9388,0.9343
vector,1,FLM1,91,0.3067,0.2955,0.3251,0.3185,0.9375,0.9387
vector,1,FLM1,86,0.1502,0.1669,0.1674,0.1742,0.9671,0.9656
vector,1,FLM1,85,0.3189,0.3493,0.3483,0.3872,0.9505,0.9439
vector,1,FLM1,84,0.5086,0.4812,0.5076,0.684,0.9069,0.9025
vector,1,FLM1,98,0.3067,0.3269,0.3473,0.3016,0.9337,0.9379
vector,1,FLM1,100,0.3951,0.4373,0.4236,0.5173,0.8848,0.8789
vector,1,FLM1,97,0.3377,0.2841,0.3595,0.3312,0.9299,0.9353
vector,1,FLM1,99,0.4373,0.4559,0.4434,0.5854,0.9532,0.9446
vector,1,FLM1,95,0.2154,0.2252,0.2151,0.2981,0.9427,0.9387
vector,1,FLM1,93,0.471,0.5159,0.4886,0.4918,0.8841,0.8821
vector,1,FLM1,96,0.3443,0.5343,0.3929,0.4578,0.9528,0.9345
vector,1,FLM1,94,0.4515,0.545,0.49,0.5348,0.9013,0.8701
vector,1,FLM2,21,0.4695,0.5794,0.494,0.5835,0.9313,0.9186
vector,1,FLM2,20,0.4587,0.4703,0.4633,0.5535,0.9438,0.9352
vector,1,FLM2,18,0.2126,0.2482,0.2085,0.3002,0.9258,0.9119
vector,1,FLM2,19,0.353,0.3799,0.3817,0.3815,0.9388,0.9265
vector,1,FLM2,24,0.6072,0.7749,0.6511,0.7319,0.9163,0.8979
vector,1,FLM2,22,0.3635,0.4044,0.4245,0.3181,0.8587,0.8511
vector,1,FLM2,5,0.4633,0.7937,0.5451,0.5654,0.9262,0.9086
vector,1,FLM2,9,0.2521,0.2361,0.2573,0.2996,0.9061,0.9144
vector,1,FLM2,10,0.337,0.2949,0.3916,0.329,0.9216,0.9277
vector,1,FLM2,4,0.2846,0.314,0.332,0.3692,0.9324,0.9272
vector,1,FLM2,13,0.1838,0.2247,0.2054,0.1907,0.9421,0.9343
vector,1,FLM2,11,0.3816,0.3482,0.3925,0.4052,0.9668,0.9656
vector,1,FLM2,17,0.1826,0.1842,0.184,0.2003,0.9457,0.9468
vector,1,FLM2,3,0.2843,0.3488,0.3124,0.4257,0.9127,0.9018
vector,1,FLM2,2,0.3223,0.442,0.3653,0.4734,0.9504,0.9373
vector,1,FLM2,14,0.3551,0.479,0.3902,0.4959,0.8622,0.8154
vector,1,FLM2,7,0.8473,0.7694,0.8687,1.017,0.8973,0.9121
vector,1,FLM2,12,0.5555,0.47,0.5951,0.6123,0.9485,0.9536
vector,1,FLM2,8,0.2695,0.4119,0.3186,0.3251,0.9154,0.8796
vector,1,FLM2,6,0.3071,0.3548,0.359,0.36,0.8889,0.881
vector,1,FLM2,23,0.5673,0.5562,0.6146,0.6479,0.8294,0.8192
vector,1,FLM2,16,0.3535,0.3713,0.3949,0.3364,0.9348,0.942
vector,1,FLM2,1,0.4034,0.5047,0.4353,0.5701,0.8539,0.8209
vector,1,FLM2,15,0.3765,0.445,0.3861,0.5171,0.9427,0.9288
vector,1,FLM2,25,0.2169,0.3031,0.243,0.2717,0.9856,0.9829
vector,1,FLM2,26,0.2683,0.269,0.285,0.2787,0.9348,0.9359
vector,1,FLM2,27,0.2886,0.2587,0.2974,0.3117,0.9558,0.9574
vector,1,FLM2,31,0.2037,0.2179,0.2225,0.2353,0.9567,0.9588
vector,1,FLM2,32,0.5348,0.7541,0.575,0.7493,0.9158,0.8864
vector,1,FLM2,29,0.3901,0.2688,0.3854,0.4483,0.9229,0.9478
vector,1,FLM2,30,0.6455,0.6696,0.6947,0.6703,0.926,0.9243
vector,1,FLM2,33,0.5646,0.6587,0.6087,0.5928,0.9314,0.9171
vector,1,FLM2,28,0.2258,0.2681,0.2716,0.3315,0.9628,0.956
vector,1,FLM2,42,0.4453,0.4902,0.3721,0.5354,0.9148,0.9038
vector,1,FLM2,43,0.4427,0.4472,0.4298,0.5245,0.8797,0.8838
vector,1,FLM2,41,0.5415,0.5837,0.581,0.6177,0.8788,0.8793
vector,1,FLM2,39,0.3389,0.3659,0.3386,0.4383,0.9026,0.892
vector,1,FLM2,38,0.2448,0.2259,0.254,0.3062,0.9514,0.9533
vector,1,FLM2,35,0.2025,0.2152,0.2337,0.1939,0.9317,0.9243
vector,1,FLM2,36,0.3622,0.4909,0.4204,0.413,0.8828,0.8582
vector,1,FLM2,37,0.374,0.4419,0.4369,0.4015,0.9367,0.9401
vector,1,FLM2,34,0.3601,0.3256,0.3708,0.4518,0.8933,0.8942
vector,1,FLM2,40,0.3645,0.3389,0.3993,0.3572,0.9439,0.951
vector,1,FLM2,46,0.5645,0.6189,0.6155,0.5776,0.9198,0.9066
